,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,4.004632e-11,0
1,google/gke/cpu,google,gke,cpu,64,kripke,duration,38.61907458305359,0
2,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,3.998804e-11,0
3,google/gke/cpu,google,gke,cpu,64,kripke,duration,38.9248046875,0
4,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,4.010951e-11,0
5,google/gke/cpu,google,gke,cpu,64,kripke,duration,39.075859785079956,0
6,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,4.001977e-11,0
7,google/gke/cpu,google,gke,cpu,64,kripke,duration,38.96544551849365,0
8,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,4.033377e-11,0
9,google/gke/cpu,google,gke,cpu,64,kripke,duration,39.224547147750854,0
10,google/gke/cpu,google,gke,cpu,64,kripke,sweep_eff,8.18736,0
11,google/gke/cpu,google,gke,cpu,64,kripke,throughput,16113300000.0,0
12,google/gke/cpu,google,gke,cpu,64,kripke,sweep_eff,7.88757,0
13,google/gke/cpu,google,gke,cpu,64,kripke,throughput,16126900000.0,0
14,google/gke/cpu,google,gke,cpu,64,kripke,sweep_eff,8.64277,0
15,google/gke/cpu,google,gke,cpu,64,kripke,throughput,16104500000.0,0
16,google/gke/cpu,google,gke,cpu,64,kripke,sweep_eff,8.07671,0
17,google/gke/cpu,google,gke,cpu,64,kripke,throughput,16082700000.0,0
18,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,6.209442e-11,0
19,google/gke/cpu,google,gke,cpu,64,kripke,duration,57.50994610786438,0
20,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,6.206065e-11,0
21,google/gke/cpu,google,gke,cpu,64,kripke,duration,57.230509757995605,0
22,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,6.208794e-11,0
23,google/gke/cpu,google,gke,cpu,64,kripke,duration,57.293222427368164,0
24,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,6.217864e-11,0
25,google/gke/cpu,google,gke,cpu,64,kripke,duration,57.31614327430725,0
26,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,6.20082e-11,0
27,google/gke/cpu,google,gke,cpu,64,kripke,duration,57.12389254570007,0
28,google/gke/cpu,google,gke,cpu,64,kripke,sweep_eff,9.75401,0
29,google/gke/cpu,google,gke,cpu,64,kripke,throughput,16106200000.0,0
30,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,6.076155e-11,0
31,google/gke/cpu,google,gke,cpu,32,kripke,duration,53.49258351325989,0
32,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,6.151923e-11,0
33,google/gke/cpu,google,gke,cpu,32,kripke,duration,54.03828024864197,0
34,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,6.008692e-11,0
35,google/gke/cpu,google,gke,cpu,32,kripke,duration,52.79133629798889,0
36,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,5.961882e-11,0
37,google/gke/cpu,google,gke,cpu,32,kripke,duration,52.08695960044861,0
38,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,6.047523e-11,0
39,google/gke/cpu,google,gke,cpu,32,kripke,duration,53.197824001312256,0
40,google/gke/cpu,google,gke,cpu,32,kripke,sweep_eff,16.169,0
41,google/gke/cpu,google,gke,cpu,32,kripke,throughput,13837500000.0,0
42,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,7.225238e-11,0
43,google/gke/cpu,google,gke,cpu,32,kripke,duration,62.96585774421692,0
44,google/gke/cpu,google,gke,cpu,32,kripke,sweep_eff,15.8982,0
45,google/gke/cpu,google,gke,cpu,32,kripke,throughput,13840400000.0,0
46,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,7.233954e-11,0
47,google/gke/cpu,google,gke,cpu,32,kripke,duration,63.02104139328003,0
48,google/gke/cpu,google,gke,cpu,32,kripke,sweep_eff,15.0849,0
49,google/gke/cpu,google,gke,cpu,32,kripke,throughput,13823700000.0,0
50,google/gke/cpu,google,gke,cpu,32,kripke,sweep_eff,15.3722,0
51,google/gke/cpu,google,gke,cpu,32,kripke,throughput,13876100000.0,0
52,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,7.226764e-11,0
53,google/gke/cpu,google,gke,cpu,32,kripke,duration,62.9648756980896,0
54,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,7.243076e-11,0
55,google/gke/cpu,google,gke,cpu,32,kripke,duration,63.056039333343506,0
56,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,7.206649e-11,0
57,google/gke/cpu,google,gke,cpu,32,kripke,duration,62.770427942276,0
58,google/gke/cpu,google,gke,cpu,32,kripke,sweep_eff,15.3854,0
59,google/gke/cpu,google,gke,cpu,32,kripke,throughput,13806300000.0,0
60,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,3.650619e-11,0
61,google/gke/cpu,google,gke,cpu,128,kripke,duration,47.50734233856201,0
62,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,3.668716e-11,0
63,google/gke/cpu,google,gke,cpu,128,kripke,duration,47.392707109451294,0
64,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,3.653184e-11,0
65,google/gke/cpu,google,gke,cpu,128,kripke,duration,47.51234269142151,0
66,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,3.664932e-11,0
67,google/gke/cpu,google,gke,cpu,128,kripke,duration,47.80280780792236,0
68,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,3.692243e-11,0
69,google/gke/cpu,google,gke,cpu,128,kripke,duration,47.92410635948181,0
70,google/gke/cpu,google,gke,cpu,128,kripke,sweep_eff,3.91047,0
71,google/gke/cpu,google,gke,cpu,128,kripke,throughput,18359500000.0,0
72,google/gke/cpu,google,gke,cpu,128,kripke,sweep_eff,3.76655,0
73,google/gke/cpu,google,gke,cpu,128,kripke,throughput,18336200000.0,0
74,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,5.45368e-11,0
75,google/gke/cpu,google,gke,cpu,128,kripke,duration,63.46918702125549,0
76,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,5.446757e-11,0
77,google/gke/cpu,google,gke,cpu,128,kripke,duration,63.05685997009277,0
78,google/gke/cpu,google,gke,cpu,128,kripke,sweep_eff,3.81759,0
79,google/gke/cpu,google,gke,cpu,128,kripke,throughput,18513900000.0,0
80,google/gke/cpu,google,gke,cpu,128,kripke,sweep_eff,4.18482,0
81,google/gke/cpu,google,gke,cpu,128,kripke,throughput,18392700000.0,0
82,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,5.43693e-11,0
83,google/gke/cpu,google,gke,cpu,128,kripke,duration,63.620548725128174,0
84,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,5.401359e-11,0
85,google/gke/cpu,google,gke,cpu,128,kripke,duration,63.37785577774048,0
86,google/gke/cpu,google,gke,cpu,128,kripke,grind_time_seconds,5.443773e-11,0
87,google/gke/cpu,google,gke,cpu,128,kripke,duration,63.929800510406494,0
88,google/gke/cpu,google,gke,cpu,128,kripke,sweep_eff,4.0665,0
89,google/gke/cpu,google,gke,cpu,128,kripke,throughput,18369600000.0,0
90,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.863253e-10,0
91,google/gke/cpu,google,gke,cpu,8,kripke,duration,153.6443247795105,0
92,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.862241e-10,0
93,google/gke/cpu,google,gke,cpu,8,kripke,duration,153.59482979774475,0
94,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.864589e-10,0
95,google/gke/cpu,google,gke,cpu,8,kripke,duration,153.62612128257751,0
96,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.862283e-10,0
97,google/gke/cpu,google,gke,cpu,8,kripke,duration,153.5868980884552,0
98,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.862982e-10,0
99,google/gke/cpu,google,gke,cpu,8,kripke,duration,153.12254428863525,0
100,google/gke/cpu,google,gke,cpu,8,kripke,sweep_eff,38.8324,0
101,google/gke/cpu,google,gke,cpu,8,kripke,throughput,5039950000.0,0
102,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.988255e-10,0
103,google/gke/cpu,google,gke,cpu,8,kripke,duration,163.78601169586182,0
104,google/gke/cpu,google,gke,cpu,8,kripke,sweep_eff,37.3188,0
105,google/gke/cpu,google,gke,cpu,8,kripke,throughput,5029540000.0,0
106,google/gke/cpu,google,gke,cpu,8,kripke,sweep_eff,36.6953,0
107,google/gke/cpu,google,gke,cpu,8,kripke,throughput,5050620000.0,0
108,google/gke/cpu,google,gke,cpu,8,kripke,sweep_eff,38.0924,0
109,google/gke/cpu,google,gke,cpu,8,kripke,throughput,5028830000.0,0
110,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.988534e-10,0
111,google/gke/cpu,google,gke,cpu,8,kripke,duration,163.80593132972717,0
112,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.979955e-10,0
113,google/gke/cpu,google,gke,cpu,8,kripke,duration,162.6528558731079,0
114,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.980203e-10,0
115,google/gke/cpu,google,gke,cpu,8,kripke,duration,163.02266812324524,0
116,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.984147e-10,0
117,google/gke/cpu,google,gke,cpu,8,kripke,duration,163.02411317825317,0
118,google/gke/cpu,google,gke,cpu,8,kripke,sweep_eff,38.007,0
119,google/gke/cpu,google,gke,cpu,8,kripke,throughput,5049990000.0,0
120,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,4.140383e-11,0
121,google/gke/cpu,google,gke,cpu,256,kripke,duration,95.76313781738281,0
122,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,4.125854e-11,0
123,google/gke/cpu,google,gke,cpu,256,kripke,duration,96.38588118553162,0
124,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,4.124442e-11,0
125,google/gke/cpu,google,gke,cpu,256,kripke,duration,96.84414100646973,0
126,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,4.186854e-11,0
127,google/gke/cpu,google,gke,cpu,256,kripke,duration,96.33560061454773,0
128,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,4.157612e-11,0
129,google/gke/cpu,google,gke,cpu,256,kripke,duration,94.89988255500793,0
130,google/gke/cpu,google,gke,cpu,256,kripke,sweep_eff,1.40273,0
131,google/gke/cpu,google,gke,cpu,256,kripke,throughput,14677600000.0,0
132,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,6.606623e-11,0
133,google/gke/cpu,google,gke,cpu,256,kripke,duration,121.84579944610596,0
134,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,6.58575e-11,0
135,google/gke/cpu,google,gke,cpu,256,kripke,duration,122.53368663787842,0
136,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,6.576842e-11,0
137,google/gke/cpu,google,gke,cpu,256,kripke,duration,121.23798155784607,0
138,google/gke/cpu,google,gke,cpu,256,kripke,sweep_eff,1.44889,0
139,google/gke/cpu,google,gke,cpu,256,kripke,throughput,15184300000.0,0
140,google/gke/cpu,google,gke,cpu,256,kripke,sweep_eff,1.43273,0
141,google/gke/cpu,google,gke,cpu,256,kripke,throughput,15136300000.0,0
142,google/gke/cpu,google,gke,cpu,256,kripke,sweep_eff,1.53656,0
143,google/gke/cpu,google,gke,cpu,256,kripke,throughput,15092000000.0,0
144,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,6.626008e-11,0
145,google/gke/cpu,google,gke,cpu,256,kripke,duration,121.92528891563416,0
146,google/gke/cpu,google,gke,cpu,256,kripke,grind_time_seconds,6.813088e-11,0
147,google/gke/cpu,google,gke,cpu,256,kripke,duration,124.67479467391968,0
148,google/gke/cpu,google,gke,cpu,256,kripke,sweep_eff,1.49274,0
149,google/gke/cpu,google,gke,cpu,256,kripke,throughput,15204900000.0,0
150,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,9.421875e-11,0
151,google/gke/cpu,google,gke,cpu,16,kripke,duration,79.65241479873657,0
152,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,9.31516e-11,0
153,google/gke/cpu,google,gke,cpu,16,kripke,duration,78.72312784194946,0
154,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,9.330174e-11,0
155,google/gke/cpu,google,gke,cpu,16,kripke,duration,78.95215654373169,0
156,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,9.350343e-11,0
157,google/gke/cpu,google,gke,cpu,16,kripke,duration,79.12121939659119,0
158,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,9.36383e-11,0
159,google/gke/cpu,google,gke,cpu,16,kripke,duration,79.31524991989136,0
160,google/gke/cpu,google,gke,cpu,16,kripke,sweep_eff,24.2344,0
161,google/gke/cpu,google,gke,cpu,16,kripke,throughput,9050050000.0,0
162,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,1.095237e-10,0
163,google/gke/cpu,google,gke,cpu,16,kripke,duration,92.1756854057312,0
164,google/gke/cpu,google,gke,cpu,16,kripke,sweep_eff,23.1201,0
165,google/gke/cpu,google,gke,cpu,16,kripke,throughput,9111310000.0,0
166,google/gke/cpu,google,gke,cpu,16,kripke,sweep_eff,25.419,0
167,google/gke/cpu,google,gke,cpu,16,kripke,throughput,9130440000.0,0
168,google/gke/cpu,google,gke,cpu,16,kripke,sweep_eff,24.981,0
169,google/gke/cpu,google,gke,cpu,16,kripke,throughput,9069220000.0,0
170,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,1.104967e-10,0
171,google/gke/cpu,google,gke,cpu,16,kripke,duration,93.02027654647827,0
172,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,1.102631e-10,0
173,google/gke/cpu,google,gke,cpu,16,kripke,duration,92.37908983230591,0
174,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,1.096732e-10,0
175,google/gke/cpu,google,gke,cpu,16,kripke,duration,92.30687284469604,0
176,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,1.097537e-10,0
177,google/gke/cpu,google,gke,cpu,16,kripke,duration,92.2787139415741,0
178,google/gke/cpu,google,gke,cpu,16,kripke,sweep_eff,24.3558,0
179,google/gke/cpu,google,gke,cpu,16,kripke,throughput,9117990000.0,0
180,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.772866e-10,0
181,google/gke/cpu,google,gke,cpu,4,kripke,duration,306.8489809036255,0
182,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.786224e-10,0
183,google/gke/cpu,google,gke,cpu,4,kripke,duration,307.9110441207886,0
184,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.794855e-10,0
185,google/gke/cpu,google,gke,cpu,4,kripke,duration,308.60053420066833,0
186,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.757628e-10,0
187,google/gke/cpu,google,gke,cpu,4,kripke,duration,306.04689383506775,0
188,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.763252e-10,0
189,google/gke/cpu,google,gke,cpu,4,kripke,duration,306.52136993408203,0
190,google/gke/cpu,google,gke,cpu,4,kripke,sweep_eff,55.0219,0
191,google/gke/cpu,google,gke,cpu,4,kripke,throughput,2553620000.0,0
192,google/gke/cpu,google,gke,cpu,4,kripke,sweep_eff,56.3565,0
193,google/gke/cpu,google,gke,cpu,4,kripke,throughput,2566450000.0,0
194,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.895773e-10,0
195,google/gke/cpu,google,gke,cpu,4,kripke,duration,317.23721194267273,0
196,google/gke/cpu,google,gke,cpu,4,kripke,sweep_eff,54.8388,0
197,google/gke/cpu,google,gke,cpu,4,kripke,throughput,2566880000.0,0
198,google/gke/cpu,google,gke,cpu,4,kripke,sweep_eff,55.6282,0
199,google/gke/cpu,google,gke,cpu,4,kripke,throughput,2554960000.0,0
200,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.896435e-10,0
201,google/gke/cpu,google,gke,cpu,4,kripke,duration,317.31202816963196,0
202,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.913962e-10,0
203,google/gke/cpu,google,gke,cpu,4,kripke,duration,318.8789737224579,0
204,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.919297e-10,0
205,google/gke/cpu,google,gke,cpu,4,kripke,duration,318.73893427848816,0
206,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,3.916015e-10,0
207,google/gke/cpu,google,gke,cpu,4,kripke,duration,318.4727473258972,0
208,google/gke/cpu,google,gke,cpu,4,kripke,sweep_eff,55.3991,0
209,google/gke/cpu,google,gke,cpu,4,kripke,throughput,2551480000.0,0
210,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,2.359641e-11,0
211,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,26.66671323776245,0
212,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,2.386792e-11,0
213,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,26.692412614822388,0
214,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,2.397148e-11,0
215,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,27.065874576568604,0
216,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,2.349845e-11,0
217,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,26.927767515182495,0
218,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,2.393328e-11,0
219,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,26.825560331344604,0
220,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,3.857393e-11,0
221,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,38.96112775802612,0
222,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,sweep_eff,12.187,0
223,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,throughput,25924200000.0,0
224,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,sweep_eff,11.6868,0
225,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,throughput,25357200000.0,0
226,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,3.783928e-11,0
227,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,38.41284656524658,0
228,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,sweep_eff,11.8276,0
229,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,throughput,26011700000.0,0
230,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,sweep_eff,12.1443,0
231,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,throughput,26427600000.0,0
232,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,3.943658e-11,0
233,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,39.83093857765198,0
234,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,3.804397e-11,0
235,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,38.39897322654724,0
236,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,sweep_eff,12.122,0
237,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,throughput,26285400000.0,0
238,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,grind_time_seconds,3.844428e-11,0
239,google/compute-engine/cpu,google,compute-engine,cpu,64,kripke,duration,38.997005462646484,0
240,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,3.874618e-11,0
241,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,36.54942512512207,0
242,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,3.901598e-11,0
243,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,36.82424187660217,0
244,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,4.154033e-11,0
245,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,38.84627151489258,0
246,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,3.933338e-11,0
247,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,37.02382183074951,0
248,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,3.897059e-11,0
249,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,36.76380276679993,0
250,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,sweep_eff,22.5995,0
251,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,throughput,19267900000.0,0
252,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,5.265079e-11,0
253,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,47.932183504104614,0
254,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,5.18998e-11,0
255,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,47.33212924003601,0
256,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,sweep_eff,23.2826,0
257,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,throughput,19164000000.0,0
258,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,5.259998e-11,0
259,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,47.897167682647705,0
260,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,sweep_eff,22.619,0
261,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,throughput,18944400000.0,0
262,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,sweep_eff,21.6057,0
263,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,throughput,18993100000.0,0
264,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,grind_time_seconds,5.21811e-11,0
265,google/compute-engine/cpu,google,compute-engine,cpu,32,kripke,duration,47.555222272872925,0
