
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    1167.23
8                    1254.22
16                   1176.03
32                   1280.83
64                   1315.29
128                  1204.29
256                  1235.92
512                  1284.55
1024                 1363.34
2048                 1301.27
4096                 1317.64
8192                 1424.10
16384                2543.53
32768                2682.67
65536                2822.15
131072               3009.32
262144               3134.06
524288               3965.13
1048576              5242.73
