# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      51.64
1                      51.86
2                      52.21
4                      51.76
8                      50.84
16                     51.09
32                     52.26
64                     52.08
128                    52.33
256                    52.90
512                    54.05
1024                   54.48
2048                   64.36
4096                   65.94
8192                   67.70
16384                  70.92
32768                  78.64
65536                 192.19
131072                210.79
262144                236.95
524288                285.68
1048576               392.48
2097152               631.34
4194304              1054.18
