# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      44.13
1                      43.77
2                      43.62
4                      43.40
8                      43.83
16                     43.81
32                     43.06
64                     43.37
128                    44.17
256                    44.73
512                    45.44
1024                   45.80
2048                   58.85
4096                   60.17
8192                   61.91
16384                  63.86
32768                  70.34
65536                 173.71
131072                193.17
262144                221.97
524288                274.54
1048576               380.30
2097152               652.44
4194304              1129.08
